key HBPattern1 HBPattern2 Weight
1533 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-11.HD5.OD-5.HO6.OH-6.V38 8
1534 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-11.HD5.OD-4.HO6.OH-6.V204 60
1539 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-11.HD5.OD4.HO6.OH-6.V34 5
1540 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-11.HD5.OD5.HO6.OH-6.V74 3
1549 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-4.HD5.OD6.HO6.OH1.V14 1
1552 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-3.HD4.OD6.HO6.OH1.V75 5
1553 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-3.HD5.OD6.HO6.OH2.V6 5
1554 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB3.HD1.OD6.HO6.OH4.V148 5
1555 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB3.HD2.OD6.HO6.OH5.V8 5
1556 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB4.HD1.OD6.HO6.OH5.V31 1
1878 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH1.V1 1
1881 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH4.V196 54
1882 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH5.V46 5
1883 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH-5.V8 3
1887 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH1.V6 1
1888 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH2.V27 8
1889 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH3.V8 2
1890 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH4.V993 46
1891 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH5.V194 4
1892 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH-5.V77 4
1893 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH-4.V63 17
1896 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH1.V1 1
1897 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH2.V316 104
1898 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH3.V40 14
1901 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH-5.V14 1
1902 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH-4.V646 17
1903 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH-3.V4 3
1904 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH-2.V5 1
1906 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH1.V6 2
1907 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH2.V2744 96
1908 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH3.V352 12
1912 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH-3.V30 3
1913 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH-2.V91 28
1914 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH0.V275 219
1915 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH1.V19 8
1920 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO0.OH-2.V2346 27
1921 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO0.OH0.V6531 219
1922 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB11.SB-11.HD6.OD-6.HO0.OH1.V314 7
2260 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB-11.SB-11.HD2.OD1.HO6.OH-6.V2 1
2261 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB-11.SB-11.HD2.OD2.HO6.OH-6.V1442 7
2271 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB-11.SB-11.HD3.OD3.HO6.OH-6.V39 8
2280 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB-11.SB-11.HD4.OD3.HO6.OH-6.V4 2
2281 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB-11.SB-11.HD4.OD4.HO6.OH-6.V285 3
2289 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB-11.SB-11.HD5.OD4.HO6.OH-6.V34 2
2290 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB-11.SB-11.HD5.OD5.HO6.OH-6.V74 2
2633 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH-5.V8 2
2642 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH-5.V77 4
2643 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH-4.V63 1
